id,reference,source,apercu_200_caracteres,statut
4063,Article 13,Code Général des Impôts 2026,"Article 13.- Produits des actions, parts sociales et revenus
assimilés
Les produits des actions, parts sociales et revenus assimilés soumis à la
retenue à la source prévue à l’article 4 ci-dessus sont ceux versés, mis à
",a_verifier
4064,Article 14,Code Général des Impôts 2026,"Article 14.- Produits de placements à revenu fixe
Les produits de placements à revenu fixe soumis à la retenue à la source
prévue à l’article 4 ci-dessus, sont ceux versés, mis à la disposition ou
inscrits en compte des ",a_verifier
4065,Article 14 bis,Code Général des Impôts 2026,"Article 14 bis.- Revenus des certificats de Sukuk143
Sont soumis à la retenue à la source, au taux applicable aux produits
de placements à revenu fixe, les revenus versés par les fonds de
placements collectifs en titrisa",a_verifier
4066,Article 15,Code Général des Impôts 2026,"Article 15.- Produits bruts perçus par les personnes physiques ou
morales non résidentes
Les produits bruts soumis à la retenue à la source prévue à l’article 4
ci-dessus sont ceux versés, mis à la disposition ou inscrit",a_verifier
4067,Article 15 ter,Code Général des Impôts 2026,"Article 15 ter - Produits de location145
Les produits de location soumis à la retenue à la source prévus à l’article
4-V ci-dessus, s’entendent des produits de location de biens immeubles
bâtis et non bâtis et des constr",a_verifier
4068,Article 16,Code Général des Impôts 2026,"Article 16.- Détermination de la base imposable
Les sociétés non résidentes adjudicataires de marchés de travaux, de
construction ou de montage peuvent opter, lors du dépôt de la déclaration
prévue à l'article 148-III 14",a_verifier
4069,Article 17,Code Général des Impôts 2026,"Article 17.- Période d’imposition
L'impôt sur les sociétés est calculé d'après le bénéfice réalisé au cours
de chaque exercice comptable qui ne peut être supérieur à douze (12)
mois.
En cas de liquidation prolongée d'une",a_verifier
4070,Article 18,Code Général des Impôts 2026,"Article 18.- Lieu d’imposition
Les sociétés sont imposées pour l'ensemble de leurs produits, bénéfices
et revenus au lieu de leur siège social ou de leur principal établissement
au Maroc.
En cas d'option pour l'impôt sur",a_verifier
4071,Article 19,Code Général des Impôts 2026,"Article 19.- Taux d’imposition
I.- Taux normal de l’impôt
Sous réserve des dispositions du paragraphe XXXVII-A de l’article
247 ci-dessous, le taux de l’impôt sur les sociétés est fixé à148 :
147 Article 8 de la loi de f",a_verifier
4072,Article 19 bis,Code Général des Impôts 2026,"Article 19 bis.- Imputation de l’impôt étranger164
Lorsque les produits, bénéfices et revenus prévus aux articles 4 et 8
ci-dessus de source étrangère ont été soumis à un impôt sur les sociétés
dans le pays de la source ",a_verifier
4073,Article 20,Code Général des Impôts 2026,"Article 20.- Déclaration du résultat fiscal et du chiffre d’affaires
I.- Les sociétés qu’elles soient imposables à l’impôt sur les sociétés ou
qu’elles en soient exonérées, à l'exception des sociétés non résidentes
visée",a_verifier
4074,Article 20 bis,Code Général des Impôts 2026,"Article 20 bis.- Obligations des contribuables en cas de transfert
des immobilisations corporelles, incorporelles et
financières entre les sociétés membres d’un
groupe 172
En vue de réaliser les opérations de transfert d",a_verifier
4075,Article 21,Code Général des Impôts 2026,"Article 21.- Définition
L’impôt sur le revenu s’applique aux revenus et profits des personnes
physiques et des personnes morales visées à l’article 3 ci-dessus et
n’ayant pas opté pour l’impôt sur les sociétés.",a_verifier
4076,Article 22,Code Général des Impôts 2026,"Article 22.- Revenus et profits imposables
Les catégories de revenus et profits concernés sont :
1°- les revenus professionnels ;
2°- les revenus provenant des exploitations agricoles ;
3°- les revenus salariaux et reven",a_verifier
4077,Article 23,Code Général des Impôts 2026,"Article 23.- Territorialité
I.- Sont assujetties à l'impôt sur le revenu :
1°- les personnes physiques qui ont au Maroc leur domicile fiscal,
à raison de l’ensemble de leurs revenus et profits, de source marocaine
et étr",a_verifier
4078,Article 24,Code Général des Impôts 2026,"Article 24.- Exonérations
Sont exonérés de l'impôt sur le revenu :
1°- les ambassadeurs et agents diplomatiques, les consuls et
agents consulaires de nationalité étrangère, pour leurs revenus de source
étrangère, dans la",a_verifier
4079,Article 25,Code Général des Impôts 2026,"Article 25.- Détermination du revenu global imposable
Le revenu global imposable est constitué par le ou les revenus nets
d'une ou plusieurs des catégories prévues à l'article 22 ci-dessus, à
l’exclusion des revenus et p",a_verifier
4080,Article 26,Code Général des Impôts 2026,"Article 26.- Détermination du revenu global imposable des
personnes physiques membres de groupements
I.- Sous réserve de l’option prévue à l’article 2-II ci-dessus, le résultat
bénéficiaire réalisé par les sociétés en no",a_verifier
4081,Article 27,Code Général des Impôts 2026,"Article 27.- Détermination du revenu global imposable des
personnes qui s’établissent au Maroc ou qui cessent
d’y avoir leur domicile fiscal
I.- Lorsqu'un contribuable acquiert un domicile fiscal au Maroc, son
revenu glo",a_verifier
4082,Article 28,Code Général des Impôts 2026,"Article 28.- Déductions sur le revenu global imposable
Sont déductibles du revenu global imposable, tel qu'il est défini à l'article
25 ci-dessus :
I.- Le montant des dons en argent ou en nature octroyés aux
organismes v",a_verifier
4083,Article 29,Code Général des Impôts 2026,"Article 29.- Evaluation des dépenses des personnes physiques223
lors de l’examen de l’ensemble de la situation fiscale
Les dépenses visées à l’article 216 ci-dessous et dont le montant est
supérieur à deux cent quarante ",a_verifier
4084,Article 30,Code Général des Impôts 2026,"Article 30.- Définition des revenus professionnels
Sont considérés comme revenus professionnels pour l'application de
l'impôt sur le revenu :
1°- les bénéfices réalisés par les personnes physiques et provenant de
l'exerc",a_verifier
4085,Article 31,Code Général des Impôts 2026,"Article 31.- Exonérations, abattement et réduction d’impôt232
I.- Exonération 233
A.- Exonération permanente
1°- (abrogé)234
2°- (abrogé)235
B.- Exonérations temporaires236
1°- (abrogé) 237
2°-Les entreprises hôtelières ",a_verifier
4086,Article 32,Code Général des Impôts 2026,"Article 32.- Régimes de détermination du revenu net
professionnel
I.- Les revenus professionnels sont déterminés d'après le régime du
résultat net réel prévu aux articles 33 à 37 et à l’article 161 ci-dessous.
Toutefois,",a_verifier
4087,Article 33,Code Général des Impôts 2026,"Article 33.- Détermination du résultat net réel
I.- L'exercice comptable des contribuables dont le revenu
professionnel est déterminé d'après le régime du résultat net réel doit être
clôturé au 31 décembre de chaque anné",a_verifier
4088,Article 34,Code Général des Impôts 2026,"Article 34.- Produits imposables
Les produits imposables visés à l’article 33-II ci-dessus s’entendent :
I.- des produits, plus-values et gains visés à l'article 9-I ci-dessus ;
II.- des plus-values, résultant d’une cess",a_verifier
4089,Article 35,Code Général des Impôts 2026,"Article 35.- Charges déductibles
Les charges déductibles au sens de l’article 33-II ci-dessus, sont celles
visées à l’article 10 ci-dessus, à l’exclusion de l’impôt sur le revenu.
Ne sont pas déductibles comme charges251",a_verifier
4090,Article 36,Code Général des Impôts 2026,"Article 36.- Charges non déductibles en totalité ou en partie
Ne sont pas déductibles du résultat net réel, les charges visées à
l’article 11 ci-dessus.",a_verifier
4091,Article 37,Code Général des Impôts 2026,"Article 37.- Déficit reportable
Le déficit d'un exercice peut être déduit du bénéfice de l’exercice ou
des exercices suivants dans les conditions visées à l’article 12 ci-dessus.
II.- REGIME DU RESULTAT NET SIMPLIFIE",a_verifier
4092,Article 38,Code Général des Impôts 2026,"Article 38.- Détermination du résultat net simplifié
I.- L’exercice comptable des contribuables, dont les revenus
professionnels sont déterminés d'après le régime du résultat net simplifié,
est clôturé au 31 décembre de ",a_verifier
4093,Article 39,Code Général des Impôts 2026,"Article 39.- Conditions d’application du régime du résultat net
simplifié255
Le régime du résultat net simplifié est applicable sur option formulée
dans les conditions de forme et de délai prévues aux articles 43 et 44 c",a_verifier
4094,Article 40,Code Général des Impôts 2026,"Article 40.- Détermination de la base imposable259
I.- Les personnes physiques dont les revenus professionnels sont
déterminés selon le régime de la contribution professionnelle unique sont
soumises à l’impôt sur le reve",a_verifier
4095,Article 41,Code Général des Impôts 2026,"Article 41.- Conditions d’application263
I.- Les personnes physiques visées à l’article 40 ci-dessus peuvent
opter pour le régime de la contribution professionnelle unique, dans les
conditions de forme et de délai prévue",a_verifier
4096,Article 42,Code Général des Impôts 2026,"Article 42.- (abrogé)264
IV.- REGIME DE L’AUTO-ENTREPRENEUR
Article 42 bis265.- Détermination de la base imposable
Les personnes physiques exerçant une activité professionnelle, à titre
individuel en tant qu’auto-entrepr",a_verifier
4097,Article 42 ter,Code Général des Impôts 2026,"Article 42 ter.268- Conditions d’application
I.- Le régime de l’auto-entrepreneur est applicable sur option dans les
conditions de forme et de délai prévues aux articles 43-4° et 44-II ci-
dessous.
II.- L’option pour le ",a_verifier
4098,Article 43,Code Général des Impôts 2026,"Article 43.- Limites du chiffre d’affaires
1°- Les options pour le régime du résultat net simplifié ou pour celui
de la contribution professionnelle unique271, formulées par les
contribuables visés respectivement272 aux ",a_verifier
4099,Article 44,Code Général des Impôts 2026,"Article 44.- Dates d’option
I.- Les contribuables qui entendent opter pour le régime du résultat
net simplifié ou celui de la contribution professionnelle unique279 doivent
en formuler la demande par écrit et l'adresser ",a_verifier
4100,Article 45,Code Général des Impôts 2026,"Article 45.- Produits bruts perçus par les personnes non
résidentes
Les produits bruts, visés à l'article 30-3° ci-dessus tels qu’énumérés à
l’article 15 ci-dessus, sont ceux perçus par les personnes physiques et les
per",a_verifier
4101,Article 45 bis,Code Général des Impôts 2026,"Article 45 bis.285- Rémunérations allouées à des tiers
I.- Les rémunérations allouées à des tiers visées à l’article 4-IV ci-
dessus, s’entendent des honoraires, commissions, courtages et autres
rémunérations de même nat",a_verifier
4102,Article 46,Code Général des Impôts 2026,"Article 46.-Définition des revenus agricoles
Sont considérés comme revenus agricoles, les bénéfices réalisés par
un agriculteur et/ou éleveur et provenant de toute activité inhérente à
l’exploitation d’un cycle de produc",a_verifier
4103,Article 47290,Code Général des Impôts 2026,"Article 47290.- Exonération permanente et réduction d’impôt291
I- Exonération permanente
Sont exonérés de l'impôt sur le revenu de manière permanente les
contribuables disposant des revenus agricoles tels que définis à l",a_verifier
4104,Article 48,Code Général des Impôts 2026,"Article 48.- Régimes d’imposition
I.- Le revenu imposable provenant des exploitations agricoles est
déterminé d'après un bénéfice forfaitaire tel que défini à l’article 49 ci-
dessous et en tenant compte des dispositions",a_verifier
4105,Article 49,Code Général des Impôts 2026,"Article 49.- Détermination du bénéfice forfaitaire
I.- Le bénéfice forfaitaire annuel de chaque exploitation comprend le
bénéfice afférent aux terres de culture et aux plantations régulières et le
bénéfice afférent aux a",a_verifier
